review_id,summary,pros,cons,rating,review_link,job_title,review_datetime,employment_status,is_current_employee,years_of_employment,location,advice_to_management,helpful_count,not_helpful_count,business_outlook_rating,career_opportunities_rating,ceo_rating,compensation_and_benefits_rating,culture_and_values_rating,diversity_and_inclusion_rating,recommend_to_friend_rating,senior_management_rating,work_life_balance_rating,language
102535204,"Buena flexibilidad horaria, mala gestión de personal.","Flexibilidad horaria con estudios
Beneficios diversos
Ubicación céntrica","Mala gestión de personal
Desconexión forzada del exterior
Alta rotación de staff",5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102535204.htm,Agent,2026-01-28T13:15:28.360Z,REGULAR,True,2,"Lima, Lima Region","Sueldos más competitivos, métricas más claras, mejor gestión de agentes.",0,0,POSITIVE,4.0,NO_OPINION,4.0,4.0,5.0,POSITIVE,3.0,2.0,eng
102533740,Great place to work,"Buena empresa para trabajar, flexibles",Algo apartado el lugar de trabajo,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102533740.htm,Content Moderator,2026-01-28T12:07:44.213Z,REGULAR,True,1,"Bogotá, Bogota",,0,0,,,,5.0,4.0,5.0,,5.0,4.0,eng
102533647,Emotions and Experience Activity,Fue una actividad muy dinámica y divertida que ayuda a salir de la monotonía y recargar energías para continuar,No veo ningún contra en la actividad,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102533647.htm,Content Moderator,2026-01-28T12:04:14.503Z,REGULAR,True,1,"Bogotá, Bogota","No hay ninguno, la actividad fue muy completa",0,0,,5.0,APPROVE,5.0,5.0,5.0,POSITIVE,5.0,5.0,eng
102533622,Buen ambiente laboral,"La empresa cuenta con un buen ambiente laboral, diversas actividades y apoyos.",Dan poco tiempo de break.,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102533622.htm,Operations Customer Expert 1,2026-01-28T12:03:08.967Z,REGULAR,True,1,"Bogotá, Bogota",Mejorar un poco el tiempo de descanso.,0,0,POSITIVE,4.0,APPROVE,5.0,5.0,5.0,POSITIVE,5.0,4.0,eng
102533610,Excelente,Un excelente ambiente laboral que se preocupa por sus empleados,Más dinamismo respecto a la elección de horarios,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102533610.htm,Content Moderator,2026-01-28T12:02:18.947Z,REGULAR,True,6,"Bogotá, Bogota",No reducir beneficios para los empleados,0,0,POSITIVE,5.0,APPROVE,5.0,5.0,5.0,POSITIVE,5.0,5.0,eng
102533605,Good laboral environment,Good place to work 👍🏽,"Anything, everything is ok and cool",5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102533605.htm,Content Moderator,2026-01-28T12:02:04.830Z,REGULAR,True,1,"Bogotá, Bogota",,0,0,POSITIVE,5.0,APPROVE,5.0,5.0,5.0,POSITIVE,5.0,5.0,eng
102533578,Excelente ambiente laboral,Las actividades a realizar considero son adecuadas para mantener un espacio laboral sano y activo.,Las actividades podrían incluir el ámbito conversacional para fortalecer el juego y la dinámica.,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102533578.htm,Content Moderator,2026-01-28T12:01:06.477Z,REGULAR,True,1,"Bogotá, Bogota",Sugiero dedicar un espacio un poco más prolongado para este tipo de dinámicas.,0,0,POSITIVE,5.0,APPROVE,4.0,5.0,5.0,POSITIVE,5.0,5.0,eng
102533570,Tp sup review,"You have excellent benefits as worker in Tp, the work environment is great, the payment is puntual and nice.",Some of the benefits are not working currently.,4,https://www.glassdoor.com/Reviews/Employee-Review--RVW102533570.htm,Supervisor,2026-01-28T12:00:38.567Z,CONTRACT,True,4,"Bogota, Cundinamarca",,0,0,POSITIVE,4.0,NO_OPINION,5.0,3.0,5.0,POSITIVE,4.0,3.0,eng
102533546,Good laboral enviroment,Pretty good enviroment and people,"Everything was awesome, nothing to complaint",5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102533546.htm,,2026-01-28T11:59:41.583Z,REGULAR,True,1,,No,0,0,POSITIVE,5.0,APPROVE,5.0,5.0,5.0,POSITIVE,5.0,5.0,eng
102533540,Buen ambiente laboral,"Lindas instalaciones y excelente ambiente, muy tranquilo y cómodo",Cómo sugerencia me gustaría más conversación,4,https://www.glassdoor.com/Reviews/Employee-Review--RVW102533540.htm,Content Moderator,2026-01-28T11:59:21.727Z,REGULAR,True,0,,,0,0,,,,,,,,,,eng
102533529,Great and funny time at work,It's great to have fun at work and know coworkers that can become great friends,There are any cons for this,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102533529.htm,Content Moderator,2026-01-28T11:59:12.573Z,REGULAR,True,1,"Bogotá, Bogota",Any,0,0,POSITIVE,5.0,APPROVE,5.0,5.0,5.0,POSITIVE,5.0,5.0,eng
102527713,Great if you need just anything and fast,The timeline from applying to getting hired was really fast. The interview was one of the easiest I've experienced as there were no real interview questions. I was only asked about my internet at home and when I could start.,"The company is very disorganized, the training is not as in depth as it should be, and the management team is horrible. There is no communication and they have a fake ""open-door"" policy. The pay is minimum and they try to force you into promotions w/o pay increases.",2,https://www.glassdoor.com/Reviews/Employee-Review--RVW102527713.htm,,2026-01-28T07:45:11.813Z,REGULAR,False,1,,,0,0,,,,,,,,,,eng
102521047,Feedback,Good environment and echo friendly,"So far my first day, everything was smooth",4,https://www.glassdoor.com/Reviews/Employee-Review--RVW102521047.htm,Customer Service Representative (CSR),2026-01-28T01:08:25.723Z,REGULAR,True,0,,,0,0,POSITIVE,4.0,APPROVE,4.0,4.0,4.0,POSITIVE,4.0,4.0,eng
102515491,Terrible job,"Good training program and instructors,",Terrible work environment. Will let you go for not making sales.,1,https://www.glassdoor.com/Reviews/Employee-Review--RVW102515491.htm,,2026-01-27T17:26:22.707Z,REGULAR,False,0,,,0,0,,,,,,,,,,eng
102512762,Great Oppurtunity,"Flexible schedule, opportunity to advance, work from home environment.",I would really appreciate more competitive wages.,3,https://www.glassdoor.com/Reviews/Employee-Review--RVW102512762.htm,Desktop Support Technician,2026-01-27T14:17:45.170Z,REGULAR,True,2,"El Paso, TX",Consider the workload of a position when considering the pay rate.,0,0,,,,,,,,,,eng
102511558,Working at TP,"Guarantee 40 hours
Working environment is great","Not enough OT, but still a great job place to work.",5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102511558.htm,Desktop and Site Support Technician II,2026-01-27T13:11:55.100Z,REGULAR,True,20,"Warren, MI",Keep up with the great work that you do.,0,0,POSITIVE,5.0,APPROVE,4.0,5.0,5.0,POSITIVE,5.0,5.0,eng
102508846,Good starting point,Good work life balance and work hours,Lots of micromanaging with unrealistic expectations and targets,2,https://www.glassdoor.com/Reviews/Employee-Review--RVW102508846.htm,Digital Marketing Specialist,2026-01-27T10:58:46.277Z,REGULAR,True,2,"Toronto, ON",,0,0,NEUTRAL,1.0,,1.0,2.0,3.0,NEGATIVE,1.0,5.0,eng
102507942,Buena empresa y rápida para los procesos,"- Mi campaña ofrecia un entrenamiento preciso y muy práctico
- Los entrenadores muy comprensivos y serviciales
- El pequeño espacio de adaptación a operaciones fue muy útil","- La campaña presenta un alto flujo de llamadas que pueden durar hasta dos horas cada una
- No se puede colgar las llamadas antes de que el cliente acabe el servicio, por lo que la mayoría de días debí hacer tiempo extra",4,https://www.glassdoor.com/Reviews/Employee-Review--RVW102507942.htm,Interpretor,2026-01-27T10:21:46.190Z,PART_TIME,False,1,"Cali, Valle del Cauca",,0,0,,,,,,,,,,eng
102507708,trash,they pay good &amp; have daily pay. training is paid as well,they will fire you without notice or reason,1,https://www.glassdoor.com/Reviews/Employee-Review--RVW102507708.htm,Field Representative,2026-01-27T10:12:24.713Z,TEMPORARY,False,0,"Lakeland Highlands, FL",,0,0,,1.0,,4.0,1.0,1.0,,1.0,1.0,eng
102506279,Ventas,"Me gusta el espacio, el ambiente de trabajo y la metodología de pago",La variación entre campañas no te garantiza un empleo cuando te interesa permanecer durante mucho tiempo.,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102506279.htm,Operations Customer Expert I,2026-01-27T09:13:34.663Z,REGULAR,True,2,"Bogotá, Bogota",NA,0,0,POSITIVE,5.0,APPROVE,5.0,5.0,5.0,POSITIVE,5.0,5.0,eng
102505396,Info,El crecimiento que permite en la empresa,Que falta fortalecer varios proyectos,4,https://www.glassdoor.com/Reviews/Employee-Review--RVW102505396.htm,Administrator,2026-01-27T08:39:01.610Z,CONTRACT,True,1,"Bogotá, Bogota",Implementar mas procesos,0,0,POSITIVE,4.0,APPROVE,4.0,4.0,4.0,POSITIVE,4.0,4.0,eng
102505362,Buen trabajo,Es una compañía que brinda estabilidad a las personas,El acceso a los ascensores son tediosos,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102505362.htm,Customer Service Representative,2026-01-27T08:37:52.580Z,REGULAR,True,2,"Bogotá, Bogota",Hacer más actividades lúdicas,0,0,POSITIVE,4.0,APPROVE,4.0,4.0,4.0,POSITIVE,4.0,4.0,eng
102505341,Espacios cómodos,Buenos espacios y oportunidades para primer empleo.,"Algunos horarios, bajos salarios que manejan algunas campañas",4,https://www.glassdoor.com/Reviews/Employee-Review--RVW102505341.htm,Costumer Service,2026-01-27T08:37:22.907Z,REGULAR,True,2,"Bogotá, Bogota",Manejar la parte de los salarios para las campañas bilingües,0,0,POSITIVE,4.0,APPROVE,4.0,4.0,4.0,POSITIVE,3.0,3.0,eng
102504051,No thinking Human,"Free coffee machine, well structured training program","No thinking in their employees as human, do not take care of their talent like if they could have so much interested people in line",2,https://www.glassdoor.com/Reviews/Employee-Review--RVW102504051.htm,Customer Service Representative,2026-01-27T07:42:55.077Z,REGULAR,False,1,"Bogotá, Bogota","Understanding how humans works, why the dissconection moments are importante, 30 min lunch for a place with ovens and lockers away from workplace is not friendly",0,0,,1.0,APPROVE,4.0,1.0,5.0,NEGATIVE,1.0,2.0,eng
102501869,Overall good,Good career progression with clear targets,"Not many cons, high turnover",4,https://www.glassdoor.com/Reviews/Employee-Review--RVW102501869.htm,Technical Support - Genius Bar,2026-01-27T06:07:56.607Z,REGULAR,False,0,"San Jose, San Jose",,0,0,,,,,,,,,,eng
102495677,Worst place,Yes no and sometimes yes,Rien a signaling  cause lelo faux,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102495677.htm,Customer Service Representative,2026-01-27T00:18:51.137Z,REGULAR,True,2,"Athens, Athens, Attica",,0,0,,,,,,,,,,eng
102495677,Worst place,Yes no and sometimes yes,Rien a signaling  cause lelo faux,5,https://www.glassdoor.com/Reviews/Employee-Review--RVW102495677.htm,Customer Service Representative,2026-01-27T00:18:51.137Z,REGULAR,True,2,"Athens, Athens, Attica",,0,0,,,,,,,,,,eng
102473028,Experience,Good salary good commission transportation allowance,"Sme's rudeness and unhelpfullnes, stressfull jop,working hours to match us timing,",3,https://www.glassdoor.com/Reviews/Employee-Review--RVW102473028.htm,Customer Service Representative,2026-01-25T23:13:27.480Z,REGULAR,False,1,"Cairo, Cairo Governorate",,0,0,,2.0,,4.0,2.0,3.0,NEGATIVE,2.0,1.0,eng
